match_id,year,round,match_date,venue,crowd,home_team,away_team,home_score,away_score,match_margin,match_result,home_win_rate_last3,home_win_rate_last5,home_win_rate_last10,home_avg_score_for_last5,home_avg_score_against_last5,home_win_streak,home_rest_days,home_ladder_pts_cum_pre,home_ladder_rank_pre,home_h2h_win_rate_prior,home_h2h_games_played_prior,home_venue_games_prior,home_venue_win_rate_prior,away_win_rate_last3,away_win_rate_last5,away_win_rate_last10,away_avg_score_for_last5,away_avg_score_against_last5,away_win_streak,away_rest_days,away_ladder_pts_cum_pre,away_ladder_rank_pre,away_h2h_win_rate_prior,away_h2h_games_played_prior,away_venue_games_prior,away_venue_win_rate_prior
1983-04-30__Victoria Park__Collingwood Magpies__North Melbourne Kangaroos,1983,6,1983-04-30,Victoria Park,28315.0,Collingwood Magpies,North Melbourne Kangaroos,130,108,22,Home Win,0.0,0.2,0.2,101.6,111.8,0.0,7.0,4.0,10.0,,0,2,0.0,0.6666666666666666,0.6,0.6,115.6,90.2,0.0,5.0,12.0,5.0,,0,0,
1983-04-30__Moorabbin Oval__Fitzroy Lions__St Kilda Saints,1983,6,1983-04-30,Moorabbin Oval,16154.0,St Kilda Saints,Fitzroy Lions,102,143,-41,Away Win,0.0,0.0,0.0,83.0,130.4,0.0,6.0,0.0,11.0,,0,1,0.0,1.0,0.8,0.8,109.4,69.4,4.0,7.0,16.0,1.0,,0,0,
1983-04-30__Princes Park__Carlton Blues__Geelong Cats,1983,6,1983-04-30,Princes Park,25480.0,Carlton Blues,Geelong Cats,85,95,-10,Away Win,0.6666666666666666,0.6,0.6,95.8,95.4,0.0,7.0,12.0,5.0,,0,2,0.5,0.6666666666666666,0.8,0.8,100.2,83.4,0.0,5.0,16.0,1.0,,0,0,
1983-05-07__Western Oval__Collingwood Magpies__Western Bulldogs,1983,7,1983-05-07,Western Oval,31479.0,Western Bulldogs,Collingwood Magpies,82,88,-6,Away Win,0.6666666666666666,0.8,0.6666666666666666,98.6,110.6,0.0,7.0,16.0,3.0,,0,2,1.0,0.3333333333333333,0.2,0.3333333333333333,100.6,108.4,1.0,7.0,8.0,8.0,,0,0,
1983-05-07__Melbourne Cricket Ground__Essendon Bombers__Richmond Tigers,1983,7,1983-05-07,Melbourne Cricket Ground,49707.0,Richmond Tigers,Essendon Bombers,112,137,-25,Away Win,0.3333333333333333,0.2,0.16666666666666666,93.8,108.8,1.0,7.0,4.0,9.0,,0,2,0.0,1.0,0.8,0.6666666666666666,127.4,91.2,3.0,7.0,16.0,3.0,,0,0,
1983-05-07__Waverley Park__Melbourne Demons__St Kilda Saints,1983,7,1983-05-07,Waverley Park,25192.0,Melbourne Demons,St Kilda Saints,108,75,33,Home Win,0.6666666666666666,0.6,0.5,107.0,102.6,2.0,7.0,12.0,6.0,,0,0,,0.0,0.0,0.0,86.0,139.0,0.0,7.0,0.0,10.0,,0,1,0.0
1983-05-07__Princes Park__Hawthorn Hawks__North Melbourne Kangaroos,1983,7,1983-05-07,Princes Park,13958.0,Hawthorn Hawks,North Melbourne Kangaroos,91,142,-51,Away Win,0.3333333333333333,0.6,0.6666666666666666,104.2,76.8,0.0,7.0,16.0,3.0,,0,2,0.5,0.3333333333333333,0.4,0.5,117.2,98.8,0.0,7.0,12.0,6.0,,0,0,
1983-05-14__Waverley Park__Collingwood Magpies__Richmond Tigers,1983,8,1983-05-14,Waverley Park,58780.0,Collingwood Magpies,Richmond Tigers,107,59,48,Home Win,0.6666666666666666,0.4,0.42857142857142855,99.0,104.6,2.0,7.0,12.0,9.0,,0,1,0.0,0.3333333333333333,0.2,0.14285714285714285,96.2,112.4,0.0,7.0,4.0,11.0,,0,1,1.0
1983-05-14__Aegis Park__North Melbourne Kangaroos__Western Bulldogs,1983,8,1983-05-14,Aegis Park,15556.0,North Melbourne Kangaroos,Western Bulldogs,189,74,115,Home Win,0.3333333333333333,0.6,0.5714285714285714,137.0,99.4,1.0,7.0,16.0,4.0,,0,2,1.0,0.3333333333333333,0.6,0.5714285714285714,95.2,111.8,0.0,7.0,16.0,4.0,,0,0,
1983-05-14__Moorabbin Oval__Carlton Blues__St Kilda Saints,1983,8,1983-05-14,Moorabbin Oval,19016.0,St Kilda Saints,Carlton Blues,89,145,-56,Away Win,0.0,0.0,0.0,87.0,134.4,0.0,7.0,0.0,12.0,,0,2,0.0,0.3333333333333333,0.6,0.5714285714285714,99.0,103.0,1.0,6.0,16.0,4.0,,0,0,
1983-05-14__GMHBA Stadium__Geelong Cats__Sydney Swans,1983,8,1983-05-14,GMHBA Stadium,17650.0,Geelong Cats,Sydney Swans,84,110,-26,Away Win,0.3333333333333333,0.6,0.7142857142857143,91.2,81.4,0.0,7.0,20.0,2.0,,0,2,0.5,0.3333333333333333,0.2,0.2857142857142857,93.6,144.4,0.0,6.0,8.0,10.0,,0,0,
1983-05-14__Melbourne Cricket Ground__Fitzroy Lions__Melbourne Demons,1983,8,1983-05-14,Melbourne Cricket Ground,33758.0,Melbourne Demons,Fitzroy Lions,87,126,-39,Away Win,1.0,0.6,0.5714285714285714,104.8,97.6,3.0,7.0,16.0,4.0,,0,4,0.5,1.0,1.0,0.8571428571428571,113.2,68.4,6.0,7.0,24.0,1.0,,0,0,
1983-05-21__Moorabbin Oval__Richmond Tigers__St Kilda Saints,1983,9,1983-05-21,Moorabbin Oval,20686.0,St Kilda Saints,Richmond Tigers,108,93,15,Home Win,0.0,0.0,0.0,96.4,129.2,0.0,7.0,0.0,10.0,,0,3,0.0,0.3333333333333333,0.2,0.125,98.8,115.0,0.0,7.0,4.0,9.0,,0,0,
1983-05-21__Princes Park__Carlton Blues__Hawthorn Hawks,1983,9,1983-05-21,Princes Park,30660.0,Carlton Blues,Hawthorn Hawks,104,96,8,Home Win,0.6666666666666666,0.6,0.625,108.6,103.4,2.0,7.0,20.0,2.0,,0,3,0.3333333333333333,0.3333333333333333,0.4,0.625,101.6,106.8,1.0,7.0,20.0,2.0,,0,4,0.5
1983-05-21__Waverley Park__Fitzroy Lions__Western Bulldogs,1983,9,1983-05-21,Waverley Park,22336.0,Fitzroy Lions,Western Bulldogs,99,145,-46,Away Win,1.0,1.0,0.875,119.0,74.6,7.0,7.0,28.0,1.0,,0,0,,0.0,0.4,0.5,87.8,133.8,0.0,7.0,16.0,7.0,,0,1,0.0
1983-05-21__GMHBA Stadium__Geelong Cats__North Melbourne Kangaroos,1983,9,1983-05-21,GMHBA Stadium,21802.0,Geelong Cats,North Melbourne Kangaroos,84,124,-40,Away Win,0.3333333333333333,0.4,0.625,89.2,94.2,0.0,7.0,20.0,2.0,,0,3,0.3333333333333333,0.6666666666666666,0.6,0.625,137.8,105.2,2.0,7.0,20.0,2.0,,0,0,
1983-05-21__Windy Hill__Essendon Bombers__Melbourne Demons,1983,9,1983-05-21,Windy Hill,19955.0,Essendon Bombers,Melbourne Demons,149,115,34,Home Win,0.6666666666666666,0.8,0.625,136.4,107.6,0.0,7.0,20.0,2.0,,0,2,1.0,0.6666666666666666,0.6,0.5,106.4,100.6,0.0,7.0,16.0,7.0,,0,0,
1983-05-28__Windy Hill__Essendon Bombers__Geelong Cats,1983,10,1983-05-28,Windy Hill,20793.0,Essendon Bombers,Geelong Cats,109,97,12,Home Win,0.6666666666666666,0.8,0.6666666666666666,138.0,107.2,1.0,7.0,24.0,2.0,,0,3,1.0,0.0,0.2,0.5555555555555556,88.0,103.2,0.0,7.0,20.0,5.0,,0,0,
1983-05-28__Western Oval__St Kilda Saints__Western Bulldogs,1983,10,1983-05-28,Western Oval,19247.0,Western Bulldogs,St Kilda Saints,128,82,46,Home Win,0.3333333333333333,0.4,0.5555555555555556,93.2,134.2,1.0,7.0,20.0,5.0,,0,3,0.6666666666666666,0.3333333333333333,0.2,0.1111111111111111,102.2,129.8,1.0,7.0,4.0,11.0,,0,0,
1983-05-28__Aegis Park__Carlton Blues__North Melbourne Kangaroos,1983,10,1983-05-28,Aegis Park,23425.0,North Melbourne Kangaroos,Carlton Blues,193,82,111,Home Win,1.0,0.6,0.6666666666666666,137.2,101.4,3.0,7.0,24.0,2.0,,0,3,1.0,1.0,0.6,0.6666666666666666,109.6,104.6,3.0,7.0,24.0,2.0,,0,0,
1983-05-28__Waverley Park__Hawthorn Hawks__Melbourne Demons,1983,10,1983-05-28,Waverley Park,23989.0,Melbourne Demons,Hawthorn Hawks,109,171,-62,Away Win,0.3333333333333333,0.6,0.4444444444444444,111.4,110.6,0.0,7.0,16.0,8.0,,0,1,1.0,0.3333333333333333,0.4,0.5555555555555556,101.4,104.0,0.0,7.0,20.0,5.0,,0,1,0.0
1983-06-04__Junction Oval__Fitzroy Lions__Richmond Tigers,1983,11,1983-06-04,Junction Oval,16153.0,Fitzroy Lions,Richmond Tigers,136,114,22,Home Win,0.6666666666666666,0.8,0.8,107.4,95.6,1.0,7.0,32.0,1.0,,0,4,0.75,0.3333333333333333,0.4,0.2,95.2,106.8,1.0,7.0,8.0,9.0,,0,0,
1983-06-04__Moorabbin Oval__Collingwood Magpies__St Kilda Saints,1983,11,1983-06-04,Moorabbin Oval,25153.0,St Kilda Saints,Collingwood Magpies,144,160,-16,Away Win,0.3333333333333333,0.2,0.1,91.2,123.4,0.0,7.0,4.0,10.0,,0,4,0.25,0.3333333333333333,0.6,0.4,100.4,92.6,0.0,7.0,16.0,7.0,,0,0,
1983-06-04__Waverley Park__Carlton Blues__Essendon Bombers,1983,11,1983-06-04,Waverley Park,60619.0,Carlton Blues,Essendon Bombers,101,126,-25,Away Win,0.6666666666666666,0.6,0.6,113.0,118.2,0.0,7.0,24.0,4.0,,0,1,1.0,0.6666666666666666,0.8,0.7,134.2,102.0,2.0,7.0,28.0,2.0,,0,1,1.0
1983-06-04__Melbourne Cricket Ground__Melbourne Demons__North Melbourne Kangaroos,1983,11,1983-06-04,Melbourne Cricket Ground,25249.0,Melbourne Demons,North Melbourne Kangaroos,125,139,-14,Away Win,0.0,0.4,0.4,109.0,122.8,0.0,7.0,16.0,7.0,,0,5,0.4,1.0,0.8,0.7,151.2,92.2,4.0,7.0,28.0,2.0,,0,0,
1983-06-11__Princes Park__Fitzroy Lions__Hawthorn Hawks,1983,12,1983-06-11,Princes Park,20708.0,Hawthorn Hawks,Fitzroy Lions,167,134,33,Home Win,0.3333333333333333,0.4,0.5,116.6,109.0,0.0,7.0,24.0,4.0,1.0,1,6,0.3333333333333333,0.6666666666666666,0.8,0.9,106.0,98.0,2.0,7.0,36.0,1.0,,0,1,1.0
1983-06-11__Windy Hill__Essendon Bombers__Sydney Swans,1983,12,1983-06-11,Windy Hill,20012.0,Essendon Bombers,Sydney Swans,156,83,73,Home Win,1.0,0.8,0.8,123.2,112.4,3.0,7.0,32.0,2.0,0.0,1,4,1.0,0.6666666666666666,0.6,0.4,112.8,108.2,1.0,6.0,20.0,5.0,1.0,1,0,
1983-06-13__Waverley Park__Collingwood Magpies__Melbourne Demons,1983,12,1983-06-13,Waverley Park,55380.0,Collingwood Magpies,Melbourne Demons,87,68,19,Home Win,0.3333333333333333,0.6,0.4,106.4,99.8,1.0,9.0,20.0,4.0,1.0,1,2,0.5,0.0,0.2,0.4,108.8,132.0,0.0,9.0,16.0,5.0,0.0,1,2,0.5
1983-06-13__Melbourne Cricket Ground__Carlton Blues__Richmond Tigers,1983,12,1983-06-13,Melbourne Cricket Ground,48243.0,Richmond Tigers,Carlton Blues,141,91,50,Home Win,0.3333333333333333,0.2,0.2,96.8,116.4,0.0,9.0,8.0,6.0,0.0,1,4,0.25,0.3333333333333333,0.6,0.5,116.2,124.4,0.0,9.0,24.0,1.0,1.0,1,1,1.0
1983-06-18__Princes Park__Carlton Blues__Western Bulldogs,1983,13,1983-06-18,Princes Park,23701.0,Carlton Blues,Western Bulldogs,171,82,89,Home Win,0.0,0.4,0.5,104.6,129.0,0.0,5.0,24.0,5.0,0.0,1,4,0.5,0.6666666666666666,0.6,0.6,110.2,116.4,1.0,5.0,28.0,4.0,1.0,1,1,1.0
1983-06-18__GMHBA Stadium__Collingwood Magpies__Geelong Cats,1983,13,1983-06-18,GMHBA Stadium,25808.0,Geelong Cats,Collingwood Magpies,101,85,16,Home Win,0.3333333333333333,0.2,0.4,90.2,106.6,0.0,5.0,24.0,5.0,1.0,1,4,0.25,0.6666666666666666,0.6,0.5,106.2,97.0,2.0,5.0,24.0,5.0,0.0,1,0,
1983-06-18__Waverley Park__Essendon Bombers__St Kilda Saints,1983,13,1983-06-18,Waverley Park,30616.0,St Kilda Saints,Essendon Bombers,91,138,-47,Away Win,0.0,0.2,0.1,105.4,132.2,0.0,7.0,4.0,10.0,0.0,1,2,0.0,1.0,0.8,0.8,127.0,106.6,4.0,7.0,36.0,1.0,1.0,1,2,1.0
1983-06-18__Melbourne Cricket Ground__Melbourne Demons__Richmond Tigers,1983,13,1983-06-18,Melbourne Cricket Ground,28468.0,Melbourne Demons,Richmond Tigers,123,109,14,Home Win,0.0,0.0,0.3,100.8,134.4,0.0,5.0,16.0,8.0,1.0,1,6,0.3333333333333333,0.6666666666666666,0.4,0.3,102.6,107.2,1.0,5.0,12.0,9.0,0.0,1,5,0.4
1983-06-19__Sydney Cricket Ground__Hawthorn Hawks__Sydney Swans,1983,13,1983-06-19,Sydney Cricket Ground,10084.0,Sydney Swans,Hawthorn Hawks,78,110,-32,Away Win,0.3333333333333333,0.6,0.4,105.8,109.6,0.0,8.0,20.0,2.0,0.0,1,5,0.8,0.6666666666666666,0.6,0.5,131.8,107.4,1.0,8.0,28.0,1.0,1.0,1,0,
1983-06-25__Melbourne Cricket Ground__Melbourne Demons__Western Bulldogs,1983,14,1983-06-25,Melbourne Cricket Ground,19306.0,Melbourne Demons,Western Bulldogs,99,85,14,Home Win,0.3333333333333333,0.2,0.4,108.0,131.0,1.0,7.0,20.0,9.0,0.0,1,7,0.42857142857142855,0.3333333333333333,0.6,0.5,111.8,112.8,0.0,7.0,28.0,5.0,1.0,1,1,1.0
1983-06-25__Aegis Park__North Melbourne Kangaroos__Sydney Swans,1983,14,1983-06-25,Aegis Park,7404.0,North Melbourne Kangaroos,Sydney Swans,82,50,32,Home Win,0.6666666666666666,0.8,0.7,132.2,123.0,0.0,7.0,36.0,3.0,,0,4,1.0,0.3333333333333333,0.4,0.4,99.4,114.8,0.0,6.0,20.0,9.0,,0,0,
1983-06-25__Princes Park__Hawthorn Hawks__St Kilda Saints,1983,14,1983-06-25,Princes Park,8188.0,Hawthorn Hawks,St Kilda Saints,143,74,69,Home Win,0.6666666666666666,0.6,0.5,126.4,104.0,2.0,6.0,32.0,4.0,1.0,1,7,0.42857142857142855,0.0,0.2,0.1,105.8,130.8,0.0,7.0,4.0,12.0,0.0,1,0,
1983-07-02__Victoria Park__Collingwood Magpies__Essendon Bombers,1983,15,1983-07-02,Victoria Park,33611.0,Collingwood Magpies,Essendon Bombers,104,87,17,Home Win,0.6666666666666666,0.6,0.6,101.8,90.2,1.0,7.0,28.0,4.0,0.0,1,5,0.4,0.6666666666666666,0.8,0.8,117.4,87.4,0.0,7.0,40.0,1.0,1.0,1,0,
1983-07-02__Princes Park__Carlton Blues__Melbourne Demons,1983,15,1983-07-02,Princes Park,19301.0,Carlton Blues,Melbourne Demons,67,106,-39,Away Win,0.3333333333333333,0.2,0.4,98.0,128.4,0.0,7.0,28.0,4.0,1.0,1,5,0.6,0.6666666666666666,0.4,0.5,104.8,118.2,2.0,7.0,24.0,8.0,0.0,1,0,
1983-07-02__Melbourne Cricket Ground__North Melbourne Kangaroos__Richmond Tigers,1983,15,1983-07-02,Melbourne Cricket Ground,23622.0,Richmond Tigers,North Melbourne Kangaroos,114,138,-24,Away Win,0.6666666666666666,0.6,0.4,108.0,102.6,1.0,7.0,16.0,9.0,0.0,1,6,0.3333333333333333,0.6666666666666666,0.8,0.7,123.8,116.2,1.0,7.0,40.0,1.0,1.0,1,1,1.0
1983-07-03__Sydney Cricket Ground__Fitzroy Lions__Sydney Swans,1983,15,1983-07-03,Sydney Cricket Ground,10315.0,Sydney Swans,Fitzroy Lions,147,117,30,Home Win,0.0,0.2,0.4,85.2,111.2,0.0,8.0,20.0,2.0,0.0,1,6,0.6666666666666666,0.6666666666666666,0.8,0.8,129.6,97.2,2.0,8.0,44.0,1.0,,0,0,
1983-07-09__Western Oval__Richmond Tigers__Western Bulldogs,1983,16,1983-07-09,Western Oval,15006.0,Western Bulldogs,Richmond Tigers,84,104,-20,Away Win,0.0,0.2,0.3,86.2,114.2,0.0,7.0,28.0,4.0,1.0,1,5,0.8,0.3333333333333333,0.4,0.4,109.6,111.4,0.0,7.0,16.0,6.0,0.0,1,0,
1983-07-16__Princes Park__Collingwood Magpies__Hawthorn Hawks,1983,16,1983-07-16,Princes Park,28484.0,Hawthorn Hawks,Collingwood Magpies,137,100,37,Home Win,1.0,0.8,0.6,119.4,88.2,4.0,14.0,40.0,1.0,1.0,1,8,0.5,0.6666666666666666,0.8,0.7,107.2,89.0,2.0,14.0,32.0,2.0,0.0,1,0,
1983-07-16__Melbourne Cricket Ground__Geelong Cats__Melbourne Demons,1983,16,1983-07-16,Melbourne Cricket Ground,34155.0,Melbourne Demons,Geelong Cats,79,73,6,Home Win,1.0,0.6,0.5,104.2,97.4,3.0,14.0,28.0,3.0,1.0,1,8,0.5,0.3333333333333333,0.4,0.3,84.8,93.0,0.0,14.0,28.0,3.0,,0,0,
1983-07-16__Moorabbin Oval__St Kilda Saints__Sydney Swans,1983,16,1983-07-16,Moorabbin Oval,17861.0,St Kilda Saints,Sydney Swans,129,100,29,Home Win,0.3333333333333333,0.2,0.2,106.6,128.8,1.0,14.0,8.0,6.0,,0,6,0.16666666666666666,0.3333333333333333,0.4,0.4,95.8,113.4,1.0,13.0,24.0,5.0,1.0,1,0,
1983-07-23__Western Oval__Essendon Bombers__Western Bulldogs,1983,17,1983-07-23,Western Oval,20708.0,Western Bulldogs,Essendon Bombers,107,125,-18,Away Win,0.0,0.2,0.3,82.6,110.8,0.0,14.0,28.0,7.0,0.0,1,6,0.6666666666666666,0.0,0.4,0.6,109.2,94.2,0.0,14.0,40.0,4.0,1.0,1,0,
1983-07-23__Junction Oval__Fitzroy Lions__St Kilda Saints,1983,17,1983-07-23,Junction Oval,15335.0,Fitzroy Lions,St Kilda Saints,138,149,-11,Away Win,0.3333333333333333,0.4,0.6,125.0,113.2,0.0,14.0,44.0,2.0,1.0,1,6,0.8333333333333334,0.6666666666666666,0.4,0.3,103.6,116.8,2.0,7.0,12.0,10.0,0.0,1,0,
1983-07-23__Waverley Park__Collingwood Magpies__North Melbourne Kangaroos,1983,17,1983-07-23,Waverley Park,41098.0,North Melbourne Kangaroos,Collingwood Magpies,152,98,54,Home Win,1.0,0.8,0.9,110.6,119.0,3.0,14.0,48.0,1.0,0.0,1,2,0.0,0.6666666666666666,0.6,0.6,95.2,87.6,0.0,7.0,32.0,5.0,1.0,1,3,0.6666666666666666
1983-07-23__Melbourne Cricket Ground__Hawthorn Hawks__Richmond Tigers,1983,17,1983-07-23,Melbourne Cricket Ground,31084.0,Richmond Tigers,Hawthorn Hawks,82,146,-64,Away Win,0.6666666666666666,0.6,0.4,107.6,101.0,1.0,14.0,20.0,9.0,1.0,1,7,0.2857142857142857,1.0,1.0,0.7,129.2,89.2,5.0,7.0,44.0,2.0,,0,0,
