property_id,location_id,page_url,property_type,price,location,city,province_name,latitude,longitude,baths,area,purpose,bedrooms,date_added,agency,agent,area_marla,area_raw
15418815,165,https://www.zameen.com/Property/islamabad_f_7_a_unique_house_fully_furnished_and_very_secure_situated_at_beautiful_location-15418815-165-4.html,House,400000,F-7,Islamabad,Islamabad Capital,33.720413,73.056493,5,1.3 Kanal,For Rent,4,06-20-2019,Swat Associates,Syed Khurram,26.0,1.3 Kanal
13753525,8175,https://www.zameen.com/Property/dha_9_town_dha_9_town_block_c_5_marla_brand_new_house_at_dha_9_town_for_sale-13753525-8175-1.html,House,15000000,DHA Defence,Lahore,Punjab,31.438037,74.434512,5,5 Marla,For Sale,3,01-04-2019,RealEstate Hub Direct,Unassigned,5.0,5 Marla
17081837,1615,https://www.zameen.com/Property/dha_phase_6_dha_phase_6_block_f_1_kanal_brand_new_sami_furnished_designer_house_for_sale_in_dha_phase_6-17081837-1615-1.html,House,43900000,DHA Defence,Lahore,Punjab,31.467105,74.459581,6,1 Kanal,For Sale,5,07-03-2019,Home Real Estate & Builders,Dalak Sher,20.0,1 Kanal
16704804,582,https://www.zameen.com/Property/faisalabad_saeed_colony_upper_portion_is_available_for_rent-16704804-582-4.html,Upper Portion,50000,Saeed Colony,Faisalabad,Punjab,31.434925,73.129199,0,10 Marla,For Rent,0,06-17-2019,Azeem Estate Agency,"Azeem Amjad, Amjad Hussain Shah",10.0,10 Marla
17020560,7134,https://www.zameen.com/Property/malir_gulshan_e_siddiq_e_akbar_3_bed_dd_2nd_floor_portion_available_for_sale-17020560-7134-1.html,Flat,16500000,Malir,Karachi,Sindh,24.870513,67.202722,2,6.4 Marla,For Sale,3,06-30-2019,Group of Tawakkal,Shabbir Memon,6.4,6.4 Marla
16934482,168,https://www.zameen.com/Property/islamabad_g_11_portion_is_available_for_rent-16934482-168-4.html,Upper Portion,65000,G-11,Islamabad,Islamabad Capital,33.669533,73.000073,3,1 Kanal,For Rent,3,06-27-2019,Dua Real Estate,Nazakat,20.0,1 Kanal
16884702,3041,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_4_great_opportunity_for_you_to_have_the_property_of_your_choice-16884702-3041-4.html,Flat,32000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.130536,0,2.4 Marla,For Rent,0,06-28-2019,Bismillah Real Estate & Builders,Yasir Zahoor,2.4,2.4 Marla
15375175,162,https://www.zameen.com/Property/islamabad_f_10_beautiful_house_is_available_for_sale-15375175-162-1.html,House,73000000,F-10,Islamabad,Islamabad Capital,33.691531,73.005431,5,1 Kanal,For Sale,5,04-05-2019,Al Rehman Associates,M. Naqib Ur Rehman,20.0,1 Kanal
16487087,1451,https://www.zameen.com/Property/dha_defence_dha_phase_8_1_kanal_out_class_design_palace_in_phase_8_dha_lahore_negotiable_price-16487087-1451-1.html,House,30000000,DHA Defence,Lahore,Punjab,31.494408,74.437666,6,1 Kanal,For Sale,5,06-26-2019,Leads Estates & Builders,Zubair Javed,20.0,1 Kanal
10865717,1487,https://www.zameen.com/Property/lahore_divine_gardens_10_marla_grey_structure_house_for_sale-10865717-1487-1.html,House,16500000,Divine Gardens,Lahore,Punjab,31.502385,74.414506,5,10 Marla,For Sale,4,06-02-2019,Ask Properties,Haris,10.0,10 Marla
16853772,6853,https://www.zameen.com/Property/scheme_33_saadi_town_single_storey_house_is_available_for_sale-16853772-6853-1.html,House,9200000,Scheme 33,Karachi,Sindh,24.964623,67.168558,2,4.8 Marla,For Sale,2,07-04-2019,The City Estate & Construction,Syed Amir Hussain,4.8,4.8 Marla
16505478,1503,https://www.zameen.com/Property/askari_askari_11_askari_11_block_a_10_marla_house_for_sale-16505478-1503-1.html,House,19500000,Askari,Lahore,Punjab,31.460187,74.432459,3,10 Marla,For Sale,3,06-02-2019,Saqib Real Estate,Zain Ul Abideen,10.0,10 Marla
16622386,198,https://www.zameen.com/Property/karachi_bath_island_brand_new_sawera_excellency_apartment_in_bath_island-16622386-198-1.html,Flat,46000000,Bath Island,Karachi,Sindh,24.835661,67.028604,3,9.3 Marla,For Sale,3,07-01-2019,Bolan Estate,Abdul Rahim,9.3,9.3 Marla
17242232,9091,https://www.zameen.com/Property/nespak_scheme_phase_1_nespak_housing_society_phase_1_block_d1_2_kanal_new_luxury_residential_penthhouse_is_available_for_sale_at_nespak_housing_society__phase_1__block_d1_at_prime_location-17242232-9091-1.html,Penthouse,55000000,Main Canal Bank Road,Lahore,Punjab,31.43429,74.278426,8,2 Kanal,For Sale,7,07-11-2019,New Lahore Estate and Builders,Rana Zia,40.0,2 Kanal
17143981,10555,https://www.zameen.com/Property/karachi_bmchs_flat_available_on_rent_at_main_bahadurabad-17143981-10555-4.html,Flat,50000,BMCHS,Karachi,Sindh,24.883046,67.064663,3,6.4 Marla,For Rent,3,07-09-2019,Trust Estate,Momin Mr Shakil,6.4,6.4 Marla
16998302,3308,https://www.zameen.com/Property/f_7_f_7_2_here_is_a_good_opportunity_to_live_in_a_well_built_house-16998302-3308-1.html,House,300000000,F-7,Islamabad,Islamabad Capital,33.72334,73.051171,8,2.1 Kanal,For Sale,7,06-30-2019,Jubilee Estate & Builders,Nasir Khan,42.0,2.1 Kanal
10377724,1039,https://www.zameen.com/Property/islamabad_h_13_shangrila_apartment_for_sale-10377724-1039-1.html,Flat,11000000,H-13,Islamabad,Islamabad Capital,33.637489,72.972193,3,8.9 Marla,For Sale,3,07-04-2019,RealEstate Hub Direct,Unassigned,8.9,8.9 Marla
16893636,6826,https://www.zameen.com/Property/gulistan_e_jauhar_gulistan_e_jauhar_block_3_independent_house_200_sq_yard_corner_gulistan_e_jauhar_block_3-16893636-6826-4.html,House,90000,Gulistan-e-Jauhar,Karachi,Sindh,24.923999,67.13414,6,8 Marla,For Rent,4,07-16-2019,Mustifa Estate,Javed Vayani,8.0,8 Marla
9993537,8892,https://www.zameen.com/Property/north_karachi_north_karachi_sector_7_d3_double_story_house_for_sale-9993537-8892-1.html,House,9000000,North Karachi,Karachi,Sindh,24.965721,67.04862,6,4.8 Marla,For Sale,7,07-18-2019,RealEstate Hub Direct,Unassigned,4.8,4.8 Marla
17343841,3387,https://www.zameen.com/Property/g_9_g_9_4_g9_4_30_50_brand_new_ground_portion_2bed_2bath_dd_tvl_stor_parking-17343841-3387-4.html,Upper Portion,50000,G-9,Islamabad,Islamabad Capital,33.686496,73.039076,2,6 Marla,For Rent,2,07-17-2019,National Enterprise,Salahuddin,6.0,6 Marla
17440679,352,https://www.zameen.com/Property/faisalabad_others_house_is_available_for_sale-17440679-352-1.html,House,7500000,Others,Faisalabad,Punjab,31.4187,73.0791,0,6 Marla,For Sale,0,07-23-2019,Abdullah Estate Property Center,Rana Muhammad Siddiq,6.0,6 Marla
14075600,340,https://www.zameen.com/Property/islamabad_bani_gala_double_storey_house_is_available_for_rent-14075600-340-4.html,House,48000,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268,0,5 Marla,For Rent,0,01-05-2019,RealEstate Hub Direct,Unassigned,5.0,5 Marla
9608596,9771,https://www.zameen.com/Property/lahore_canal_bank_cooperative_housing_society_lahore_canal_bank_society_phase_1_house_for_sale_in_lahore_canal_bank_society_phase_1_block_b_lahore-9608596-9771-1.html,House,12000000,Lahore Canal Bank Cooperative Housing Society,Lahore,Punjab,31.454132,74.228056,6,6 Marla,For Sale,5,06-11-2019,AL Arz Estate & Builders,Shahid Mehboob,6.0,6 Marla
16050184,10045,https://www.zameen.com/Property/bahria_town_karachi_bahria_town_precinct_31_villa_is_available_for_sale-16050184-10045-1.html,House,9800000,Bahria Town Karachi,Karachi,Sindh,25.113565,67.353811,3,8 Marla,For Sale,3,05-06-2019,Makkah Associates,Muneeb-ur-Rehman,8.0,8 Marla
10783044,383,https://www.zameen.com/Property/islamabad_bahria_town_bahria_heights_4__1_bed_furnished_apartment_for_rent-10783044-383-4.html,Flat,55000,Bahria Town,Islamabad,Islamabad Capital,33.550837268049,73.106288909912,2,2.9 Marla,For Rent,1,07-04-2019,RealEstate Hub Direct,Unassigned,2.9,2.9 Marla
15740422,1447,https://www.zameen.com/Property/dha_defence_dha_phase_5_facing_1_kanal_next_to_corner_5_marla_luxury_house_for_sale-15740422-1447-1.html,House,22500000,DHA Defence,Lahore,Punjab,31.462493,74.409342,4,5 Marla,For Sale,3,05-03-2019,Secure Future Estate & Builder,Abubakar Hashmi,5.0,5 Marla
15007961,3041,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_4_1_kanal_brand_new_house_for_sale_in_bahria_phase_4-15007961-3041-1.html,House,45000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.549693,73.130536,6,1 Kanal,For Sale,5,03-06-2019,RealEstate Hub Direct,Unassigned,20.0,1 Kanal
17051323,9214,https://www.zameen.com/Property/rawalpindi_askari_4_the_best_apartment_for_living_purpose-17051323-9214-1.html,Flat,18500000,Askari 4,Rawalpindi,Punjab,33.584397,73.079805,3,10 Marla,For Sale,3,07-03-2019,Estate Investment,Major R Sultan Sikandar,10.0,10 Marla
16754576,4506,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_2_a_beautifully_built_house_at_good_location-16754576-4506-1.html,House,7000000,Al Rehman Garden,Lahore,Punjab,31.598824,74.228218,3,5 Marla,For Sale,4,06-18-2019,Al Raqeeb Real Estate,Syed Shahid,5.0,5 Marla
17281945,11162,https://www.zameen.com/Property/faisalabad_eden_orchard_a_beautifully_built_house_at_good_location-17281945-11162-1.html,House,10000000,Eden Orchard,Faisalabad,Punjab,31.484528,73.085066,0,5 Marla,For Sale,0,07-16-2019,Home Land Associate,Ch Muhammad Asif,5.0,5 Marla
16263993,10011,https://www.zameen.com/Property/bahria_town_precinct_2_bahria_town_quaid_villas_house_for_rent_in_quaid_vila_bahria_town_karachi-16263993-10011-4.html,House,50000,Bahria Town Karachi,Karachi,Sindh,25.005301,67.30881,4,8 Marla,For Rent,3,05-19-2019,Al Emaarah Real Estate & Builders,Ansab Umer,8.0,8 Marla
17159058,749,https://www.zameen.com/Property/lahore_lalazar_a_beautifully_built_house_at_good_location-17159058-749-1.html,House,7800000,Lalazar,Lahore,Punjab,31.466167,74.244961,3,3 Marla,For Sale,3,07-10-2019,Al Rehman Estate And Builders,"Mian Rehmat, Riaz, Iftikhar",3.0,3 Marla
16993803,173,https://www.zameen.com/Property/islamabad_i_10_i_10_size_25_x50_house_for_sale-16993803-173-1.html,House,16000000,I-10,Islamabad,Islamabad Capital,33.648922,73.038969,4,5 Marla,For Sale,4,06-28-2019,Madina Real Estate Consultant & Builders,Syed Baseer Shah,5.0,5 Marla
17309403,3080,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_safari_villas_3_here_is_a_good_opportunity_to_live_in_a_well_built_house-17309403-3080-1.html,House,22000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.555066,73.124753,3,14 Marla,For Sale,3,07-17-2019,Sagheer & Qadeer Associates,M Shahid,14.0,14 Marla
17285788,1482,https://www.zameen.com/Property/d_h_a_dha_phase_5_banglow_avalibe_for_rent-17285788-1482-4.html,House,225000,DHA Defence,Karachi,Sindh,24.810265,67.043552,7,1 Kanal,For Rent,5,07-15-2019,Rabbani Estate,Abdul Basit,20.0,1 Kanal
17372577,1813,https://www.zameen.com/Property/bahria_town_overseas_enclave_bahria_town_overseas_b_house_is_available_for_sale-17372577-1813-1.html,House,27000000,Bahria Town,Lahore,Punjab,31.371391,74.170096,0,10 Marla,For Sale,5,07-18-2019,RealEstate Hub Direct,Unassigned,10.0,10 Marla
16047357,3443,https://www.zameen.com/Property/i_8_i_8_3_flat_for_rent_i_8_3_sangam_market_2_bed_for_bachelor__doctors-16047357-3443-4.html,Flat,33000,I-8,Islamabad,Islamabad Capital,33.673783,73.074703,1,5.3 Marla,For Rent,2,05-17-2019,Property Time Real Estate Advisor,Muhammad Hafeez,5.3,5.3 Marla
17330546,12117,https://www.zameen.com/Property/lahore_habibullah_road_portion_is_available_for_rent-17330546-12117-4.html,Upper Portion,35000,Habibullah Road,Lahore,Punjab,31.558617,74.343785,0,10 Marla,For Rent,3,07-17-2019,Chorahi Estate,Ahsan Zaheer Butt,10.0,10 Marla
16958828,7184,https://www.zameen.com/Property/north_karachi_north_karachi_sector_11a_3rd_floor_with_roof_brand_new_portion_available_for_sale_in_good_location_-16958828-7184-1.html,Upper Portion,8000000,North Karachi,Karachi,Sindh,24.981857,67.060118,3,6 Marla,For Sale,3,06-28-2019,Prime Associates & Constructions,Abdullah Alam,6.0,6 Marla
8339475,562,https://www.zameen.com/Property/lahore_sabzazar_scheme_annually_commercial_2_kanal_house_for_sale_at_main_boulevard-8339475-562-1.html,House,120000000,Sabzazar Scheme,Lahore,Punjab,31.523532,74.263744,10,2 Kanal,For Sale,11,07-03-2019,RealEstate Hub Direct,Unassigned,40.0,2 Kanal
17348323,173,https://www.zameen.com/Property/islamabad_i_10_a_beautifully_built_portion_available_for_rent-17348323-173-4.html,Lower Portion,32000,I-10,Islamabad,Islamabad Capital,33.648922,73.038969,2,6 Marla,For Rent,2,07-22-2019,A M Associates,Nasir,6.0,6 Marla
16746658,3200,https://www.zameen.com/Property/dha_defence_phase_2_dha_phase_2_sector_e_10_marla_full_house_for_rent_in_dha_2_islamabad-16746658-3200-4.html,House,60000,DHA Defence,Islamabad,Islamabad Capital,33.532523,73.163452,4,10 Marla,For Rent,4,06-20-2019,Mr Ansari Real Estate,Rashid Ansari,10.0,10 Marla
16809538,163,https://www.zameen.com/Property/islamabad_f_11_here_is_a_good_opportunity_to_live_in_a_well_built_apartment-16809538-163-4.html,Flat,75000,F-11,Islamabad,Islamabad Capital,33.683532,72.99041,3,8.4 Marla,For Rent,3,06-27-2019,Talha International,Muhib Shah,8.4,8.4 Marla
17062668,3047,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_7_1_kanal_brand_new_ground_portion_available_for_rent__-17062668-3047-4.html,Lower Portion,55000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.531951,73.115215,3,1 Kanal,For Rent,3,07-03-2019,Javed Real Estate,Malik Adnan,20.0,1 Kanal
17431636,3048,https://www.zameen.com/Property/bahria_town_rawalpindi_bahria_town_phase_8_brand_new_10_marla_house_for_sale_in_bahria_town_rawalpindi-17431636-3048-1.html,House,22000000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.485576,73.08393,6,10 Marla,For Sale,5,07-22-2019,Platinum Estate & Builders,Khalid A Sheikh,10.0,10 Marla
14802441,4178,https://www.zameen.com/Property/sabzazar_scheme_sabzazar_scheme_block_p_house__is_available_for_sale-14802441-4178-1.html,House,11500000,Sabzazar Scheme,Lahore,Punjab,31.515337,74.264045,8,3 Marla,For Sale,4,03-05-2019,RealEstate Hub Direct,Unassigned,3.0,3 Marla
16163854,1487,https://www.zameen.com/Property/lahore_divine_gardens_house_is_available_for_sale-16163854-1487-1.html,House,18000000,Divine Gardens,Lahore,Punjab,31.502385,74.414506,0,10 Marla,For Sale,4,06-26-2019,Dream Developers & Property Consultants,Asad Raja,10.0,10 Marla
17139645,3333,https://www.zameen.com/Property/g_11_g_11_4_main_double_road_margala_facing_portion_for_rent_on_main_ibn_e_sina_road-17139645-3333-4.html,Upper Portion,60000,G-11,Islamabad,Islamabad Capital,33.667854,73.003843,3,14.2 Marla,For Rent,3,07-09-2019,Al Ayan Real Estate,Al Ayan Real Estate,14.2,14.2 Marla
17092984,1791,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_nargis_block_10_marla_brand_new_dubble_story_house_avalable-17092984-1791-1.html,House,18000000,Bahria Town,Lahore,Punjab,31.374964,74.199843,5,10 Marla,For Sale,5,07-03-2019,Makkah Estate,Muhammad Raees,10.0,10 Marla
9130753,338,https://www.zameen.com/Property/islamabad_soan_garden_three_story_house_for_sale-9130753-338-1.html,House,18500000,Soan Garden,Islamabad,Islamabad Capital,33.562283,73.14851,0,15.4 Marla,For Sale,0,07-04-2019,RealEstate Hub Direct,Unassigned,15.4,15.4 Marla
17264100,1483,https://www.zameen.com/Property/d_h_a_dha_phase_6_3_bed_room_appartment_for_sale-17264100-1483-1.html,Flat,29000000,DHA Defence,Karachi,Sindh,24.805351778089,67.064650229503,4,8.9 Marla,For Sale,3,07-17-2019,Property Prime Time,Haseeb Mumtaz,8.9,8.9 Marla
8714842,7060,https://www.zameen.com/Property/korangi_mbchs_makhdoom_bilawal_society_makhdoom_bilawal_cooperative_housing_society_bungalow_for_sale-8714842-7060-1.html,House,16000000,Korangi,Karachi,Sindh,24.82865,67.103448,7,4.8 Marla,For Sale,4,11-18-2018,Ali Associates,Ali Raza,4.8,4.8 Marla
17115172,6837,https://www.zameen.com/Property/gulistan_e_jauhar_gulistan_e_jauhar_block_13_star_blessing_2nd_and_3rd_floor_apartment_with_sweet_water_next_to_habib_university-17115172-6837-4.html,Flat,11000,Gulistan-e-Jauhar,Karachi,Sindh,24.912026,67.130733,1,1.8 Marla,For Rent,1,07-11-2019,New Rockwell Associates,Shafiq Ahmed Khan,1.8,1.8 Marla
17403457,3920,https://www.zameen.com/Property/izmir_town_izmir_town_block_d_1_kanal_house_is_available_for_sale-17403457-3920-1.html,House,45000000,Izmir Town,Lahore,Punjab,31.414197,74.179645,0,1 Kanal,For Sale,0,07-20-2019,Saifullah Goraya Estate,SaifUllah Goraya,20.0,1 Kanal
17437646,352,https://www.zameen.com/Property/faisalabad_others_house_is_available_for_rent-17437646-352-4.html,House,12000,Others,Faisalabad,Punjab,31.4187,73.0791,0,2.5 Marla,For Rent,0,07-23-2019,Al Noor Estate Agency,Waqar,2.5,2.5 Marla
16066636,10260,https://www.zameen.com/Property/karachi_al_manzar_society_house_is_available_for_sale-16066636-10260-1.html,House,12000000,Al-Manzar Society,Karachi,Sindh,25.009434,67.128953,2,8 Marla,For Sale,4,05-06-2019,RealEstate Hub Direct,Unassigned,8.0,8 Marla
15535697,3986,https://www.zameen.com/Property/jubilee_town_jubilee_town_block_b_house_is_available_for_sale-15535697-3986-1.html,House,21000000,Jubilee Town,Lahore,Punjab,31.405224,74.179258,0,10 Marla,For Sale,5,06-27-2019,RealEstate Hub Direct,Unassigned,10.0,10 Marla
16132212,3394,https://www.zameen.com/Property/ghauri_town_ghauri_town_phase_4_7_marla_house__in_ghauri_town-16132212-3394-1.html,House,14200000,Ghauri Town,Islamabad,Islamabad Capital,33.61855,73.135471,5,7 Marla,For Sale,5,05-04-2019,SR Property Zone Estate & Builders,Khawaja Shoaib Rizwan Khan,7.0,7 Marla
15847243,8248,https://www.zameen.com/Property/pak_arab_housing_society_phase_2_pak_arab_society_phase_2_block_e_brand_new_triple_storey_house_is_available_for_sale_at_pak_arab_society-15847243-8248-1.html,House,14000000,Pak Arab Housing Society,Lahore,Punjab,31.426924,74.342333,0,5 Marla,For Sale,3,05-03-2019,Lahore Property Group,Mian Haroon,5.0,5 Marla
16989290,1378,https://www.zameen.com/Property/islamabad_pakistan_town_pakistan_town_1_kanal_house_for_rent-16989290-1378-4.html,Upper Portion,40000,Pakistan Town,Islamabad,Islamabad Capital,33.575405,73.143325,4,1 Kanal,For Rent,3,07-09-2019,Benchmark Associate,Abu Bakar,20.0,1 Kanal
15944735,534,https://www.zameen.com/Property/faisalabad_satiana_road_upper_portion_is_available_for_rent-15944735-534-4.html,Upper Portion,16500,Satiana Road,Faisalabad,Punjab,31.37861,73.129245,0,6 Marla,For Rent,0,04-17-2019,Al Qasim Estate Agency,"Daud Ahmad(Co-CEO), Shafique Arshad Waince(Co-CEO), Zafar Iqbal Bajwa (CEO)",6.0,6 Marla
17460141,509,https://www.zameen.com/Property/lahore_bahria_town_10_marla_full_house_for_rent_in_iris_block_bahria_town_lahore-17460141-509-4.html,House,60000,Bahria Town,Lahore,Punjab,31.380313,74.187183,6,10 Marla,For Rent,5,07-24-2019,Asif Associates,Nasir Ali,10.0,10 Marla
17268799,1050,https://www.zameen.com/Property/lahore_harbanspura_double_storey_house_is_available_for_sale-17268799-1050-1.html,House,3600000,Harbanspura,Lahore,Punjab,31.575684,74.423604,0,2 Marla,For Sale,3,07-13-2019,Hamza Estate & Builders,"Haji Muhammad Tufail, Muhammad Irfan, Muhammad Adnan, Ali Baba",2.0,2 Marla
16422448,10610,https://www.zameen.com/Property/bahria_town_phase_8_bahria_town_phase_8_safari_homes_safari_home_double_storey_house_is_available_for_rent-16422448-10610-4.html,House,40000,Bahria Town Rawalpindi,Rawalpindi,Punjab,33.50136,73.108691,3,8 Marla,For Rent,3,06-28-2019,Irfan Shah Estate & Builders,Fozan Ali,8.0,8 Marla
17428800,1772,https://www.zameen.com/Property/bahria_town_bahria_town_sector_b_10_marla_lower_portion_house_for_rent_in_tulip_block-17428800-1772-4.html,Lower Portion,35000,Bahria Town,Lahore,Punjab,31.385627,74.196817,2,112.5 Kanal,For Rent,2,07-22-2019,Asho Real Estate,Afzal Wattoo,2250.0,112.5 Kanal
16952236,8550,https://www.zameen.com/Property/faisalabad_officers_colony_house_is_available_for_sale_in_phase_2-16952236-8550-1.html,House,70000000,Officers Colony,Faisalabad,Punjab,31.429589,73.142782,0,1.6 Kanal,For Sale,0,06-26-2019,Saim Real Estate,Rafaqat Muhammad Ali,32.0,1.6 Kanal
14127885,1705,https://www.zameen.com/Property/bahria_town_bahria_enclave_house_is_available_for_rent-14127885-1705-4.html,House,80000,Bahria Town,Islamabad,Islamabad Capital,33.692638,73.218813,0,1 Kanal,For Rent,5,01-05-2019,RealEstate Hub Direct,Unassigned,20.0,1 Kanal
16996586,1464,https://www.zameen.com/Property/lahore_anarkali_5_marla_house_first_portion_at_prime_location_near_old_anarkali__behind_ccpo_office-16996586-1464-4.html,Upper Portion,27000,Anarkali,Lahore,Punjab,31.571479,74.310125,3,5 Marla,For Rent,4,06-26-2019,RealEstate Hub Direct,Unassigned,5.0,5 Marla
14126823,340,https://www.zameen.com/Property/islamabad_bani_gala_upper_portion_is_available_for_rent-14126823-340-4.html,Upper Portion,33000,Bani Gala,Islamabad,Islamabad Capital,33.713488,73.16268,0,10 Marla,For Rent,0,01-05-2019,RealEstate Hub Direct,Unassigned,10.0,10 Marla
17204055,8983,https://www.zameen.com/Property/surjani_town_sector_10_surjani_town_sector_10_1_house_is_available_for_sale-17204055-8983-1.html,House,1400000,Gadap Town,Karachi,Sindh,25.04672,67.064409,0,2.6 Marla,For Sale,0,07-10-2019,Arij Coorporation,Akbar Ali,2.6,2.6 Marla
17067159,1586,https://www.zameen.com/Property/dha_phase_3_dha_phase_3_block_xx_1_kanal_house_in_xx_phase_3_dha_lahore-17067159-1586-1.html,House,50000000,DHA Defence,Lahore,Punjab,31.469521,74.363322,4,1 Kanal,For Sale,4,07-02-2019,Trust Deals Property Consultants,MShaheen Mirza,20.0,1 Kanal
15522326,156,https://www.zameen.com/Property/islamabad_bhara_kahu_bharakahu_islamabad_house_is_available_for_sale-15522326-156-1.html,House,7000000,Bhara kahu,Islamabad,Islamabad Capital,33.737404,73.17916,4,5 Marla,For Sale,6,04-05-2019,RealEstate Hub Direct,Unassigned,5.0,5 Marla
16038242,163,https://www.zameen.com/Property/islamabad_f_11_2nd_floor_furnished_apartment_is_available_for_rent-16038242-163-4.html,Flat,65000,F-11,Islamabad,Islamabad Capital,33.683532,72.99041,0,4 Marla,For Rent,0,05-18-2019,Zamin Property,Syed Fazail Kazmi,4.0,4 Marla
17071109,1791,https://www.zameen.com/Property/bahria_town_sector_c_bahria_town_nargis_block_10_marla_beautiful_brand_new_house_for_sale_in_nargis_block_sector_c_bahria_town_lahore-17071109-1791-1.html,House,17000000,Bahria Town,Lahore,Punjab,31.374964,74.199843,6,10 Marla,For Sale,5,07-02-2019,Asif Associates,Nasir Ali,10.0,10 Marla
16313282,4505,https://www.zameen.com/Property/al_rehman_garden_al_rehman_garden_phase_1_apartment_in_al_rehman_garden_c_block-16313282-4505-1.html,Flat,7000000,Al Rehman Garden,Lahore,Punjab,31.66362,74.283101,3,7 Marla,For Sale,3,06-02-2019,RealEstate Hub Direct,Unassigned,7.0,7 Marla
13377857,9049,https://www.zameen.com/Property/north_karachi_north_karachi_sector_11_c_2_house_is_available_for_sale-13377857-9049-1.html,House,13000000,North Karachi,Karachi,Sindh,24.965828,67.062514,0,4.8 Marla,For Sale,0,12-19-2018,Samama'z Associates,Shams-Uz-Zuha,4.8,4.8 Marla
